FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.6557420,POINT (16.400616837129164 48.25918920927027),6557420,,21,Pius-Parsch-Platz  8,10,0
FAHRRADABSTELLANLAGEOGD.6557421,POINT (16.400057637409677 48.258644717043474),6557421,,21,Pius-Parsch-Platz 4,10,0
FAHRRADABSTELLANLAGEOGD.6557422,POINT (16.28282858168849 48.13429161504898),6557422,,23,Färbermühlgasse 5,48,0
FAHRRADABSTELLANLAGEOGD.6557423,POINT (16.38834693888214 48.214628467584596),6557423,,2,Lichtenauergasse 4,4,0
FAHRRADABSTELLANLAGEOGD.6557424,POINT (16.343097010414965 48.20377281835027),6557424,,7,Schottenfeldgasse 69,10,0
FAHRRADABSTELLANLAGEOGD.6557425,POINT (16.337955473956125 48.20813274707555),6557425,,16,Lerchenfelder Gürtel ggü. 33,6,0
FAHRRADABSTELLANLAGEOGD.6557426,POINT (16.342398496980554 48.20767251466701),6557426,,7,Lerchenfelder Straße 103-109,4,0
FAHRRADABSTELLANLAGEOGD.6557427,POINT (16.357420549876142 48.23541402652134),6557427,,9,"U6-Station Spittelau, bei Skywalk",10,1
FAHRRADABSTELLANLAGEOGD.6557428,POINT (16.343265446540176 48.225003538107906),6557428,,18,Schulgasse 31,8,0
FAHRRADABSTELLANLAGEOGD.6557429,POINT (16.394324267915376 48.21430513617292),6557429,,2,Vivariumstraße 10,16,0
FAHRRADABSTELLANLAGEOGD.6557430,POINT (16.31339145384038 48.250776561297215),6557430,,19,Am Neustiftblick 4,6,0
FAHRRADABSTELLANLAGEOGD.6557431,POINT (16.332089153502658 48.19798613845532),6557431,,15,Goldschlagstraße 34,6,0
FAHRRADABSTELLANLAGEOGD.6557432,POINT (16.332869507624164 48.19819789190058),6557432,,15,Goldsschlagstraße 30,4,0
FAHRRADABSTELLANLAGEOGD.6557433,POINT (16.334903492795004 48.198676978791404),6557433,,15,Goldschlagstraße 13,6,0
FAHRRADABSTELLANLAGEOGD.6557434,POINT (16.317888584313497 48.19148100014554),6557434,,14,Linzer Straße 3,4,0
FAHRRADABSTELLANLAGEOGD.6557435,POINT (16.34456288352065 48.20893806228274),6557435,,8,Pfeilgasse 20,6,0
FAHRRADABSTELLANLAGEOGD.6557436,POINT (16.383976303046794 48.20279747367284),6557436,,3,Rechte Bahngasse 4,12,0
FAHRRADABSTELLANLAGEOGD.6557437,POINT (16.463216722328504 48.245741373245565),6557437,,22,Gewerbeparkstraße 10,2,0
FAHRRADABSTELLANLAGEOGD.6557438,POINT (16.313005275133644 48.21347283670802),6557438,,16,Ottakringer Straße 173,6,0
FAHRRADABSTELLANLAGEOGD.6557439,POINT (16.326953033136373 48.21029062549519),6557439,,16,Thaliastraße 57,6,0
FAHRRADABSTELLANLAGEOGD.6557440,POINT (16.32168675978679 48.20658679979575),6557440,,16,Klausgasse 10-12,8,0
FAHRRADABSTELLANLAGEOGD.6557441,POINT (16.342704993139076 48.19811877169358),6557441,,7,Apollogasse 9,8,0
FAHRRADABSTELLANLAGEOGD.6557442,POINT (16.31123317283355 48.19886839277224),6557442,,14,Gurkgasse 52,6,0
FAHRRADABSTELLANLAGEOGD.6557443,POINT (16.382216078685445 48.21590240721852),6557443,,2,Schmelzgasse 7,8,0
FAHRRADABSTELLANLAGEOGD.6557444,POINT (16.338351266891397 48.20627156323865),6557444,,7,Wimbergergasse 37,4,0
FAHRRADABSTELLANLAGEOGD.6557445,POINT (16.338295547356736 48.20595018517246),6557445,,7,Wimbergergasse 35,8,0
FAHRRADABSTELLANLAGEOGD.6557446,POINT (16.2836246754807 48.134547230393736),6557446,,23,Liesinger Platz 2A,8,0
FAHRRADABSTELLANLAGEOGD.6557447,POINT (16.28373261521568 48.13449824618914),6557447,,23,Liesinger Platz 2A,8,0
FAHRRADABSTELLANLAGEOGD.6557448,POINT (16.283797926486404 48.13448877358875),6557448,,23,Liesinger Platz 2A,10,0
FAHRRADABSTELLANLAGEOGD.6557449,POINT (16.283724171980445 48.13442488099608),6557449,,23,Liesinger Platz 2A,8,0
FAHRRADABSTELLANLAGEOGD.6557450,POINT (16.256927891320327 48.166644940994054),6557450,,13,Lainzerbachstraße ggü. 214,6,0
